value,datetime,datetime_utc,tz_time,geo_id,geo_name
33307.0,2024-01-03T20:30:00.000+01:00,2024-01-03T19:30:00Z,2024-01-03T19:30:00.000Z,8741,Península
33202.0,2024-01-03T20:45:00.000+01:00,2024-01-03T19:45:00Z,2024-01-03T19:45:00.000Z,8741,Península
33110.0,2024-01-03T21:00:00.000+01:00,2024-01-03T20:00:00Z,2024-01-03T20:00:00.000Z,8741,Península
32669.0,2024-01-03T21:15:00.000+01:00,2024-01-03T20:15:00Z,2024-01-03T20:15:00.000Z,8741,Península
32102.0,2024-01-03T21:30:00.000+01:00,2024-01-03T20:30:00Z,2024-01-03T20:30:00.000Z,8741,Península
31438.0,2024-01-03T21:45:00.000+01:00,2024-01-03T20:45:00Z,2024-01-03T20:45:00.000Z,8741,Península
30638.0,2024-01-03T22:00:00.000+01:00,2024-01-03T21:00:00Z,2024-01-03T21:00:00.000Z,8741,Península
29881.0,2024-01-03T22:15:00.000+01:00,2024-01-03T21:15:00Z,2024-01-03T21:15:00.000Z,8741,Península
29122.0,2024-01-03T22:30:00.000+01:00,2024-01-03T21:30:00Z,2024-01-03T21:30:00.000Z,8741,Península
28375.0,2024-01-03T22:45:00.000+01:00,2024-01-03T21:45:00Z,2024-01-03T21:45:00.000Z,8741,Península
27574.0,2024-01-03T23:00:00.000+01:00,2024-01-03T22:00:00Z,2024-01-03T22:00:00.000Z,8741,Península
26913.0,2024-01-03T23:15:00.000+01:00,2024-01-03T22:15:00Z,2024-01-03T22:15:00.000Z,8741,Península
26293.0,2024-01-03T23:30:00.000+01:00,2024-01-03T22:30:00Z,2024-01-03T22:30:00.000Z,8741,Península
25709.0,2024-01-03T23:45:00.000+01:00,2024-01-03T22:45:00Z,2024-01-03T22:45:00.000Z,8741,Península
25304.0,2024-01-04T00:00:00.000+01:00,2024-01-03T23:00:00Z,2024-01-03T23:00:00.000Z,8741,Península
24754.0,2024-01-04T00:15:00.000+01:00,2024-01-03T23:15:00Z,2024-01-03T23:15:00.000Z,8741,Península
24224.0,2024-01-04T00:30:00.000+01:00,2024-01-03T23:30:00Z,2024-01-03T23:30:00.000Z,8741,Península
23723.0,2024-01-04T00:45:00.000+01:00,2024-01-03T23:45:00Z,2024-01-03T23:45:00.000Z,8741,Península
23256.0,2024-01-04T01:00:00.000+01:00,2024-01-04T00:00:00Z,2024-01-04T00:00:00.000Z,8741,Península
22854.0,2024-01-04T01:15:00.000+01:00,2024-01-04T00:15:00Z,2024-01-04T00:15:00.000Z,8741,Península
22495.0,2024-01-04T01:30:00.000+01:00,2024-01-04T00:30:00Z,2024-01-04T00:30:00.000Z,8741,Península
22179.0,2024-01-04T01:45:00.000+01:00,2024-01-04T00:45:00Z,2024-01-04T00:45:00.000Z,8741,Península
21928.0,2024-01-04T02:00:00.000+01:00,2024-01-04T01:00:00Z,2024-01-04T01:00:00.000Z,8741,Península
21709.0,2024-01-04T02:15:00.000+01:00,2024-01-04T01:15:00Z,2024-01-04T01:15:00.000Z,8741,Península
21532.0,2024-01-04T02:30:00.000+01:00,2024-01-04T01:30:00Z,2024-01-04T01:30:00.000Z,8741,Península
21393.0,2024-01-04T02:45:00.000+01:00,2024-01-04T01:45:00Z,2024-01-04T01:45:00.000Z,8741,Península
